interval_start_time,avg_bird_density
2013-04-07 09:40:00+00,116.50529
2013-04-07 10:00:00+00,110.95300
2013-04-07 10:20:00+00,113.55073
2013-04-07 10:40:00+00,114.91806
2013-04-07 11:00:00+00,103.73121
2013-04-07 11:20:00+00,109.50029
2013-04-07 11:40:00+00,107.23765
2013-04-07 12:00:00+00,94.58923
2013-04-07 12:20:00+00,95.30305
2013-04-07 12:40:00+00,91.41471
2013-04-07 13:00:00+00,79.25618
2013-04-07 13:20:00+00,74.76795
2013-04-07 13:40:00+00,72.57662
2013-04-07 14:00:00+00,63.62369
2013-04-07 14:20:00+00,63.46994
2013-04-07 14:40:00+00,57.02241
2013-04-07 15:00:00+00,50.34797
2013-04-07 15:20:00+00,45.54503
2013-04-07 15:40:00+00,44.38310
2013-04-07 16:00:00+00,33.04526
2013-04-07 16:20:00+00,30.96732
2013-04-07 16:40:00+00,0
2013-04-07 17:00:00+00,0
2013-04-07 17:20:00+00,26.09088
2013-04-07 17:40:00+00,35.23229
2013-04-07 18:00:00+00,64.50839
2013-04-07 18:20:00+00,71.00521
2013-04-07 18:40:00+00,92.47480
2013-04-07 19:00:00+00,218.51141
2013-04-07 19:20:00+00,312.05691
2013-04-07 19:40:00+00,288.36344
2013-04-07 20:00:00+00,301.40896
2013-04-07 20:20:00+00,221.59282
2013-04-07 20:40:00+00,206.75712
2013-04-07 21:00:00+00,237.24867
2013-04-07 21:20:00+00,163.70350
2013-04-07 21:40:00+00,152.42521
2013-04-07 22:00:00+00,181.11666
2013-04-07 22:20:00+00,137.13086
2013-04-07 22:40:00+00,131.62703
2013-04-07 23:00:00+00,146.82542
2013-04-07 23:20:00+00,124.67019
2013-04-07 23:40:00+00,150.14588
2013-04-08 00:00:00+00,168.40064
2013-04-08 00:20:00+00,168.74901
2013-04-08 00:40:00+00,162.99277
2013-04-08 01:00:00+00,159.16137
2013-04-08 01:20:00+00,164.14435
2013-04-08 01:40:00+00,165.68898
2013-04-08 02:00:00+00,153.88645
2013-04-08 02:20:00+00,146.54568
2013-04-08 02:40:00+00,137.45442
2013-04-08 03:00:00+00,122.16500
2013-04-08 03:20:00+00,104.17766
2013-04-08 03:40:00+00,84.94087
2013-04-08 04:00:00+00,73.52790
2013-04-08 04:20:00+00,56.02355
2013-04-08 04:40:00+00,28.94111
2013-04-08 05:00:00+00,19.54412
2013-04-08 05:20:00+00,19.80341
2013-04-08 05:40:00+00,19.36595
2013-04-08 06:00:00+00,20.47502
2013-04-08 06:20:00+00,26.53761
2013-04-08 06:40:00+00,30.51415
2013-04-08 07:00:00+00,27.19702
2013-04-08 07:20:00+00,26.97651
2013-04-08 07:40:00+00,29.40928
2013-04-08 08:00:00+00,25.67232
2013-04-08 08:20:00+00,22.51298
2013-04-08 08:40:00+00,22.89389
2013-04-08 09:00:00+00,29.52520
2013-04-08 09:20:00+00,27.07166
2013-04-08 09:40:00+00,27.45302
2013-04-08 10:00:00+00,26.18196
2013-04-08 10:20:00+00,28.46951
2013-04-08 10:40:00+00,29.34084
2013-04-08 11:00:00+00,27.36300
2013-04-08 11:20:00+00,26.67586
2013-04-08 11:40:00+00,24.39339
2013-04-08 12:00:00+00,27.47207
2013-04-08 12:20:00+00,26.65895
2013-04-08 12:40:00+00,27.55245
2013-04-08 13:00:00+00,29.14022
2013-04-08 13:20:00+00,27.90280
2013-04-08 13:40:00+00,26.29241
2013-04-08 14:00:00+00,25.87591
2013-04-08 14:20:00+00,28.63346
2013-04-08 14:40:00+00,31.38768
2013-04-08 15:00:00+00,30.70237
2013-04-08 15:20:00+00,33.56703
2013-04-08 15:40:00+00,0
2013-04-08 16:00:00+00,0
2013-04-08 16:20:00+00,36.07411
2013-04-08 16:40:00+00,35.24271
2013-04-08 17:00:00+00,31.58332
2013-04-08 17:20:00+00,26.14150
2013-04-08 17:40:00+00,24.57369
2013-04-08 18:00:00+00,17.38920
2013-04-08 18:20:00+00,18.87716
2013-04-08 18:40:00+00,21.51072
2013-04-08 19:00:00+00,52.26471
2013-04-08 19:20:00+00,124.19274
2013-04-08 19:40:00+00,166.69191
2013-04-08 20:00:00+00,172.37754
2013-04-08 20:20:00+00,148.03445
2013-04-08 20:40:00+00,155.97075
2013-04-08 21:00:00+00,159.97840
2013-04-08 21:20:00+00,157.87192
2013-04-08 21:40:00+00,156.23808
2013-04-08 22:00:00+00,176.22684
2013-04-08 22:20:00+00,166.28858
2013-04-08 22:40:00+00,180.27536
2013-04-08 23:00:00+00,223.62379
2013-04-08 23:20:00+00,199.28160
2013-04-08 23:40:00+00,235.06761
2013-04-09 00:00:00+00,302.09043
2013-04-09 00:20:00+00,277.48321
2013-04-09 00:40:00+00,301.83811
2013-04-09 01:00:00+00,359.45578
2013-04-09 01:20:00+00,322.39399
2013-04-09 01:40:00+00,315.14839
2013-04-09 02:00:00+00,321.62440
2013-04-09 02:20:00+00,261.54507
2013-04-09 02:40:00+00,244.79595
2013-04-09 03:00:00+00,251.60423
2013-04-09 03:20:00+00,195.00213
2013-04-09 03:40:00+00,178.33155
2013-04-09 04:00:00+00,132.57621
