radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density
seosu,2016-10-03 22:00:00+00,1,14.3496921857198,5.27803293863932,9.11969540516535
seosu,2016-10-03 22:00:00+00,2,13.2960987091064,5.59938335418701,0.197332322597504
seosu,2016-10-03 23:00:00+00,1,14.0719950199127,3.14622533321381,11.4877885580063
seosu,2016-10-03 23:00:00+00,2,9.15881538391113,3.48065900802612,0.269329786300659
seovi,2016-10-03 20:00:00+00,1,-10.133152782917,-7.64912694692612,0.937579090396563
seovi,2016-10-03 20:00:00+00,2,-15.2083460302914,-11.967825496898,0.488929749466479
seovi,2016-10-03 21:00:00+00,1,-11.3973533113798,-5.95871194203695,2.19067834317684
seovi,2016-10-03 21:00:00+00,2,-17.2516094207764,-8.72830181121826,0.945439931936562
seovi,2016-10-03 22:00:00+00,1,-14.2086989482244,-5.64720166722933,3.28312327712774
seovi,2016-10-03 22:00:00+00,2,-15.4016154289246,-10.4371940135956,0.494374184682965
seovi,2016-10-03 23:00:00+00,1,-15.0022684733073,-3.9704873089989,2.13525225718816
seovi,2016-10-03 23:00:00+00,2,-15.0012480083265,-10.1496392049288,0.248701777867973
sevar,2016-10-03 20:00:00+00,1,-7.58262195587158,-7.77229752540588,2.4381607696414
sevar,2016-10-03 20:00:00+00,2,NA,NA,0.0
sevar,2016-10-03 21:00:00+00,1,-7.30914425849915,-7.34874873161316,2.46238204836845
sevar,2016-10-03 21:00:00+00,2,NA,NA,0.0
sevar,2016-10-03 22:00:00+00,1,-9.74655518531799,-8.61467142105102,3.07227689027786
sevar,2016-10-03 22:00:00+00,2,NA,NA,0.0
sevar,2016-10-03 23:00:00+00,1,-8.50765508413315,-6.26955181360245,1.6147326156497
sevar,2016-10-03 23:00:00+00,2,NA,NA,0.0
sevil,2016-10-03 20:00:00+00,1,-10.641354620456701,-11.6775730848312,4.24729989469051
sevil,2016-10-03 20:00:00+00,2,-12.2975562095642,-13.5727334976196,2.76851018667221
sevil,2016-10-03 21:00:00+00,1,-11.2127024829388,-10.3236153721809,3.35076695680618
sevil,2016-10-03 21:00:00+00,2,-10.892214679718,-12.9731935024261,1.6266822040081
sevil,2016-10-03 22:00:00+00,1,-11.7265840768814,-10.001553863287,3.38442377746105
sevil,2016-10-03 22:00:00+00,2,-9.77236013412476,-13.0972799301147,0.868982824683189
sevil,2016-10-03 23:00:00+00,1,-12.4150945544243,-9.96872201561928,4.41093741357327
sevil,2016-10-03 23:00:00+00,2,-10.4680913448334,-13.7314072132111,0.804986667633057
