radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
6234,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 02:20:00+00,1,-1.05792,2.20607,0.25140,0.35195,28
6260,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 02:20:00+00,1,-2.11310,-2.24459,0.42907,0.60070,28
6410,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 02:20:00+00,1,0,0,0.14150,0.19809,1
6451,2013-04-05 02:20:00+00,2,0,0,0.00000,0.00000,12
6477,2013-04-05 02:20:00+00,1,-0.26640,1.74399,1.37644,1.92701,7
6477,2013-04-05 02:20:00+00,2,1.36113,2.23257,0.53348,1.28036,7
6234,2013-04-05 02:40:00+00,1,-1.47782,-1.24840,0.30677,0.42948,28
6234,2013-04-05 02:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 02:40:00+00,1,-1.03204,1.92676,0.24577,0.34408,28
6260,2013-04-05 02:40:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 02:40:00+00,1,-3.21937,-1.17384,0.78496,1.09894,28
6410,2013-04-05 02:40:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 02:40:00+00,1,0,0,0.07525,0.10535,3
6451,2013-04-05 02:40:00+00,2,0,0,0.00000,0.00000,22
6477,2013-04-05 02:40:00+00,1,-0.40849,2.90008,1.33953,1.87534,7
6477,2013-04-05 02:40:00+00,2,1.42077,1.93865,0.44915,1.07796,9
6234,2013-04-05 03:00:00+00,1,-1.55752,-1.46080,0.39499,0.55298,28
6234,2013-04-05 03:00:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 03:00:00+00,1,-1.13741,1.65583,0.21444,0.30022,28
6260,2013-04-05 03:00:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 03:00:00+00,1,-4.47982,-1.89220,1.06498,1.49097,28
6410,2013-04-05 03:00:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 03:00:00+00,1,0,0,0.00000,0.00000,2
6451,2013-04-05 03:00:00+00,2,0,0,0.00000,0.00000,20
6477,2013-04-05 03:00:00+00,1,-0.28936,2.26934,1.41304,1.97826,14
6477,2013-04-05 03:00:00+00,2,0,0,0.20030,0.48073,18
6234,2013-04-05 03:20:00+00,1,-1.34300,-1.49312,0.41133,0.57586,28
6234,2013-04-05 03:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 03:20:00+00,1,-0.69396,1.94583,0.29615,0.41461,28
6260,2013-04-05 03:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 03:20:00+00,1,-3.59843,-2.44927,0.91157,1.27620,28
6410,2013-04-05 03:20:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 03:20:00+00,1,0,0,0.03929,0.05501,2
6451,2013-04-05 03:20:00+00,2,0,0,0.00000,0.00000,18
6477,2013-04-05 03:20:00+00,1,-0.47786,2.67382,1.27324,1.78254,7
6477,2013-04-05 03:20:00+00,2,0,0,0.10939,0.26253,7
6234,2013-04-05 03:40:00+00,1,-1.62625,-1.22745,0.35113,0.49158,28
6234,2013-04-05 03:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 03:40:00+00,1,-0.63116,1.73874,0.27143,0.38000,28
6260,2013-04-05 03:40:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 03:40:00+00,1,-2.34236,-2.56635,0.86336,1.20870,28
6410,2013-04-05 03:40:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 03:40:00+00,1,0,0,0.06933,0.09707,1
6451,2013-04-05 03:40:00+00,2,0,0,0.00000,0.00000,20
6477,2013-04-05 03:40:00+00,1,-0.37608,2.10605,1.16774,1.63484,7
6477,2013-04-05 03:40:00+00,2,0.94644,0.83795,0.21003,0.50408,9
6234,2013-04-05 04:00:00+00,1,-1.39270,-0.93065,0.39993,0.55990,28
6234,2013-04-05 04:00:00+00,2,0,0,0.00258,0.00620,48
6260,2013-04-05 04:00:00+00,1,-0.61197,1.46127,0.18568,0.25995,28
6260,2013-04-05 04:00:00+00,2,0,0,0.00147,0.00353,48
6410,2013-04-05 04:00:00+00,1,-2.93686,-2.46888,0.90229,1.26320,28
6410,2013-04-05 04:00:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 04:00:00+00,1,0,0,0.11325,0.15855,1
6451,2013-04-05 04:00:00+00,2,0,0,0.00000,0.00000,30
6477,2013-04-05 04:00:00+00,1,-0.18011,2.72174,1.37316,1.92243,14
6477,2013-04-05 04:00:00+00,2,0,0,0.08817,0.21160,17
6234,2013-04-05 04:20:00+00,1,-1.08631,-1.09229,0.52017,0.72824,28
6234,2013-04-05 04:20:00+00,2,0,0,0.00851,0.02043,48
6260,2013-04-05 04:20:00+00,1,-0.37886,1.61023,0.23653,0.33115,28
6260,2013-04-05 04:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 04:20:00+00,1,-4.17381,-2.23781,1.58897,2.22456,28
6410,2013-04-05 04:20:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 04:20:00+00,1,0,0,0.04968,0.06955,2
6451,2013-04-05 04:20:00+00,2,0,0,0.00000,0.00000,29
6477,2013-04-05 04:20:00+00,1,0.21070,2.69628,1.27810,1.78934,7
6477,2013-04-05 04:20:00+00,2,0,0,0.00000,0.00000,8
6234,2013-04-05 04:40:00+00,1,-0.25953,-0.77212,0.63050,0.88270,28
6234,2013-04-05 04:40:00+00,2,0,0,0.01264,0.03033,48
6260,2013-04-05 04:40:00+00,1,-1.50525,0.63758,0.20232,0.28325,28
6260,2013-04-05 04:40:00+00,2,0,0,0.00152,0.00365,48
6410,2013-04-05 04:40:00+00,1,-4.46082,-1.82493,1.56108,2.18552,28
6410,2013-04-05 04:40:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 04:40:00+00,1,0,0,0.13848,0.19387,2
6451,2013-04-05 04:40:00+00,2,0,0,0.00000,0.00000,20
6477,2013-04-05 04:40:00+00,1,-0.19899,1.11140,0.63216,0.88503,7
6477,2013-04-05 04:40:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 05:00:00+00,1,-0.67299,-2.09304,0.43864,0.61410,28
6234,2013-04-05 05:00:00+00,2,0,0,0.01317,0.03160,48
6260,2013-04-05 05:00:00+00,1,-1.72083,-1.09902,0.41009,0.57412,28
6260,2013-04-05 05:00:00+00,2,0,0,0.00064,0.00153,47
6410,2013-04-05 05:00:00+00,1,-4.41210,-1.30355,1.74587,2.44422,28
6410,2013-04-05 05:00:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 05:00:00+00,1,-1.28786,-2.00708,0.95223,1.33312,3
6451,2013-04-05 05:00:00+00,2,0,0,0.00000,0.00000,19
6477,2013-04-05 05:00:00+00,1,0,0,0.11227,0.15717,14
6477,2013-04-05 05:00:00+00,2,0,0,0.01408,0.03379,16
6234,2013-04-05 05:20:00+00,1,-0.51694,-1.20188,0.42203,0.59084,28
