radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
KBOX,2010-09-08 03:00:00+00,1,0,0,0.00111,0.00156,14
KBOX,2010-09-08 03:00:00+00,2,0,0,0.00000,0.00000,14
KBUF,2010-09-08 03:00:00+00,1,14.45906,-2.47536,1.97506,2.76509,14
KBUF,2010-09-08 03:00:00+00,2,0,0,0.00000,0.00000,14
KCBW,2010-09-08 03:00:00+00,1,0.00000,0.00000,2.29932,3.21904,14
KCBW,2010-09-08 03:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCCX,2010-09-08 03:00:00+00,1,0.00000,0.00000,0.01214,0.01699,14
KCCX,2010-09-08 03:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCXX,2010-09-08 03:00:00+00,1,0.00000,0.00000,1.28331,1.79663,14
KCXX,2010-09-08 03:00:00+00,2,0.00000,0.00000,32.96343,46.14880,14
KDIX,2010-09-08 03:00:00+00,1,17.98698,12.10223,0.65743,0.92040,14
KDIX,2010-09-08 03:00:00+00,2,0,0,0.00570,0.00798,14
KDOX,2010-09-08 03:00:00+00,1,15.94630,14.99410,0.18219,0.25506,14
KDOX,2010-09-08 03:00:00+00,2,0,0,0.03558,0.04981,14
KENX,2010-09-08 03:00:00+00,1,0,0,0.01407,0.01970,14
KENX,2010-09-08 03:00:00+00,2,0,0,0.15855,0.22197,14
KGYX,2010-09-08 03:00:00+00,1,0,0,0.06782,0.09495,14
KGYX,2010-09-08 03:00:00+00,2,0,0,0.00000,0.00000,14
KLWX,2010-09-08 03:00:00+00,1,13.25863,13.10690,0.40891,0.57248,14
KLWX,2010-09-08 03:00:00+00,2,0,0,0.00000,0.00000,14
KOKX,2010-09-08 03:00:00+00,1,0,0,0.00000,0.00000,14
KOKX,2010-09-08 03:00:00+00,2,0,0,0.00000,0.00000,14
KTYX,2010-09-08 03:00:00+00,1,0.00000,0.00000,0.00000,0.00000,14
KTYX,2010-09-08 03:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KBGM,2010-09-08 04:00:00+00,1,0.00000,0.00000,0.01262,0.01767,14
KBGM,2010-09-08 04:00:00+00,2,0.00000,0.00000,0.00033,0.00046,14
KBOX,2010-09-08 04:00:00+00,1,0,0,0.00336,0.00471,14
KBOX,2010-09-08 04:00:00+00,2,0,0,0.00000,0.00000,14
KBUF,2010-09-08 04:00:00+00,1,0,0,0.00000,0.00000,14
KBUF,2010-09-08 04:00:00+00,2,0,0,0.00000,0.00000,14
KCBW,2010-09-08 04:00:00+00,1,0.00000,0.00000,2.31994,3.24792,14
KCBW,2010-09-08 04:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCCX,2010-09-08 04:00:00+00,1,0.00000,0.00000,0.20826,0.29156,14
KCCX,2010-09-08 04:00:00+00,2,0.00000,0.00000,0.00000,0.00000,14
KCXX,2010-09-08 04:00:00+00,1,0.00000,0.00000,544.61750,762.46449,14
KCXX,2010-09-08 04:00:00+00,2,0.00000,0.00000,151.31202,211.83683,14
KDIX,2010-09-08 04:00:00+00,1,20.21005,10.37817,1.05616,1.47862,14
KDIX,2010-09-08 04:00:00+00,2,0,0,0.01706,0.02388,14
KDOX,2010-09-08 04:00:00+00,1,15.48680,15.39240,0.43224,0.60513,14
KDOX,2010-09-08 04:00:00+00,2,0,0,0.01448,0.02027,14
KENX,2010-09-08 04:00:00+00,1,0,0,0.06403,0.08964,14
KENX,2010-09-08 04:00:00+00,2,0,0,0.05191,0.07267,14
KGYX,2010-09-08 04:00:00+00,1,0,0,0.05046,0.07065,14
KGYX,2010-09-08 04:00:00+00,2,0,0,0.00000,0.00000,14
KLWX,2010-09-08 04:00:00+00,1,11.09870,10.79950,0.41882,0.58635,14
KLWX,2010-09-08 04:00:00+00,2,0,0,0.00000,0.00000,14
KOKX,2010-09-08 04:00:00+00,1,17.46305,12.04035,0.69240,0.96936,14
